symbol,date,monthly.returns
XLK,2014-01-31,-0.016106178010110273
XLK,2014-02-28,0.043940062214575804
XLK,2014-03-31,0.0043022404746537735
XLK,2014-04-30,0.002751163520513966
XLK,2014-05-30,0.03758583944587701
XLK,2014-06-30,0.018688738185050013
XLK,2014-07-31,0.016949291614324125
XLK,2014-08-29,0.032820463551113566
XLK,2014-09-30,-0.0051701879839883835
XLK,2014-10-31,0.016039698969656735
XLK,2014-11-28,0.04810065299765687
XLK,2014-12-31,-0.021767588855304054
XLK,2015-01-30,-0.03506662649913972
XLK,2015-02-27,0.07994982155141184
XLK,2015-03-31,-0.034355510210480444
XLK,2015-04-30,0.027509771534424576
XLK,2015-05-29,0.018553295772515188
XLK,2015-06-30,-0.041128442655743336
XLK,2015-07-31,0.028502576131698154
XLK,2015-08-31,-0.055189905536879635
XLK,2015-09-30,-0.013718900685858904
XLK,2015-10-30,0.10506302859269523
XLK,2015-11-30,0.007102106342021575
XLK,2015-12-31,-0.020811273193469426
XLK,2016-01-29,-0.037123539379567694
XLK,2016-02-29,-0.006547365285106244
XLK,2016-03-31,0.08821705594963958
XLK,2016-04-29,-0.05027057412557223
XLK,2016-05-31,0.048896317389223176
XLK,2016-06-30,-0.013778080880431531
XLK,2016-07-29,0.07101702132432663
XLK,2016-08-31,0.011625292375678331
XLK,2016-09-30,0.021018071496385016
XLK,2016-10-31,-0.007534742356375856
XLK,2016-11-30,0.0016870814279619228
XLK,2016-12-30,0.02259868990440661
XLK,2017-01-31,0.03556655391816599
XLK,2017-02-28,0.04532728983421164
XLK,2017-03-31,0.02226038091268534
XLK,2017-04-28,0.020071396336199587
XLK,2017-05-31,0.03953663323437251
XLK,2017-06-30,-0.02811841098126988
XLK,2017-07-31,0.04459072917604745
XLK,2017-08-31,0.02921616575884811
XLK,2017-09-29,0.008178506195845037
XLK,2017-10-31,0.06514385357212826
XLK,2017-11-30,0.014138136517217292
XLK,2017-12-29,0.005458028146470895
XLK,2018-01-31,0.0703675273805997
XLK,2018-02-28,-0.004090734918465899
XLK,2018-03-29,-0.037337928718730096
XLK,2018-04-30,6.114812760704691e-4
XLK,2018-05-31,0.06782745667250523
XLK,2018-06-29,-0.002631388904951071
XLK,2018-07-31,0.020872289689376045
XLK,2018-08-31,0.06598982037818879
XLK,2018-09-28,-1.9240922692287388e-4
XLK,2018-10-31,-0.0800478960118507
XLK,2018-11-30,-0.01962474869844777
XLK,2018-12-28,-0.09233889466241685
